Filing Date,Trade Date,Action Date,performance_check_month,performance_check_2_weeks,classification_check_month,classification_check_2_weeks,filing_check_month,Filing Quarter,Difference btw. filing and trade date,Ticker,Title,Delta own,Value,Title Conv.,Delta Own Conv.,Sector,One Month Prior Performance,2-Week Prior Performance,One Month Prior Market Performance,2-Week Prior Index Performance,One Month Prior Volatility Change,2-Week Prior Volatility Change,Number of Recent Transactions,Days Since Last Recent Transaction,Trade Day of Week,Filing Day of Week,Return if exited at the 75th percentile midpoint of daily price action,Return if exited at the 75th percentile open of daily price action,Days to midpoint exit,Days to open exit
2022-08-15,2022-08-15,2022-08-16,2022-07-19,2022-08-02,2022-09-14,2022-08-30,2022-05-19,3,3.87,CRGY,CEO,New,493276,0.0,1.0,Energy,0.2636432980784662,0.18273386465849523,0.11512595211068988,0.0489717232519676,-0.18230894533046121,-0.18230894533046121,0,-1,0,0,0.02935944037570479,0.041665461270077586,3.0,14.0
2022-08-15,2022-08-15,2022-08-16,2022-07-19,2022-08-02,2022-09-14,2022-08-30,2022-05-19,3,3.77,MATV,"Pres, CEO",15%,516845,0.0,0.15,Basic Materials,0.2755556315593284,0.17515923933107067,0.11512595211068988,0.0489717232519676,-0.18230894533046121,-0.18230894533046121,1,3,0,0,0.005999982321091382,0.012601563277887159,1.0,8.0
2022-08-15,2022-08-15,2022-08-16,2022-07-19,2022-08-02,2022-09-14,2022-08-30,2022-05-19,3,3.76,ASUR,"COB, CEO",12%,577320,0.0,0.12,Technology,-0.04496402923972345,-0.018484271248252186,0.11512595211068988,0.0489717232519676,-0.18230894533046121,-0.18230894533046121,0,-1,0,0,-0.0053763390322495745,-0.008960522326404782,3.0,7.0
2022-08-15,2022-08-15,2022-08-16,2022-07-19,2022-08-02,2022-09-14,2022-08-30,2022-05-19,3,3.71,NILE,"Exec COB, 10%",3%,384757,3.0,0.03,Industrials,0.0,0.06451616314521787,0.11512595211068988,0.0489717232519676,-0.18230894533046121,-0.18230894533046121,10,5,0,0,-0.1527777915751487,-0.13888891648363075,4.0,3.0
2022-08-15,2022-08-15,2022-08-16,2022-07-19,2022-08-02,2022-09-14,2022-08-30,2022-05-19,3,0.26,HLBZ,"CEO, 10%",5%,757908,0.0,0.05,Consumer Cyclical,0.8064516067008695,1.4615384010772852,0.11512595211068988,0.0489717232519676,-0.18230894533046121,-0.18230894533046121,1,70,0,0,-0.28919999599456786,-0.2815999984741211,5.0,5.0
2022-08-12,2022-08-12,2022-08-15,2022-07-18,2022-08-01,2022-09-13,2022-08-29,2022-05-18,3,0.72,MATV,"Pres, CEO",221%,520560,0.0,2.21,Basic Materials,0.2595574696882821,0.15391708751656288,0.10642956841097098,0.04492781775303562,-0.10977238291934817,-0.10977238291934817,0,-1,4,4,0.003591382048159066,0.0,2.0,0.0
2022-08-12,2022-08-12,2022-08-15,2022-07-18,2022-08-01,2022-09-13,2022-08-29,2022-05-18,3,1.69,RKT,CEO,1%,398271,0.0,0.01,Financial Services,0.18070943215569715,0.11635216573540136,0.10642956841097098,0.04492781775303562,-0.10977238291934817,-0.10977238291934817,24,2,4,4,-0.1111110961444707,-0.09792843437476904,6.0,5.0
2022-08-12,2022-08-12,2022-08-15,2022-07-18,2022-08-01,2022-09-13,2022-08-29,2022-05-18,3,1.68,AAT,"COB, CEO, 10%",0%,303000,0.0,0.0,Real Estate,0.03687413865523703,0.017934220611322552,0.10642956841097098,0.04492781775303562,-0.10977238291934817,-0.10977238291934817,9,2,4,4,-0.0482340995837214,-0.03695220698115404,5.0,5.0
2022-08-12,2022-08-12,2022-08-15,2022-07-18,2022-08-01,2022-09-13,2022-08-29,2022-05-18,3,2.45,CNFR,"Exec COB, Co-CEO, 10%",28%,1500000,0.0,0.28,Financial Services,0.2916667524074778,0.28402367030859266,0.10642956841097098,0.04492781775303562,-0.10977238291934817,-0.10977238291934817,0,-1,4,4,-0.09004734021462871,-0.07108998313103723,12.0,17.0
2022-08-11,2022-08-11,2022-08-12,2022-07-15,2022-07-29,2022-09-12,2022-08-26,2022-05-17,3,2.76,HUBG,"Pres, COO",13%,2975312,2.0,0.13,Industrials,0.21431593398291293,0.1281377378006888,0.12104502418641959,0.04717500679739649,-0.11748750893450227,-0.11748750893450227,1,0,3,3,-0.0065176625992545,-0.0026768590833395937,4.0,5.0
2022-08-11,2022-08-11,2022-08-12,2022-07-15,2022-07-29,2022-09-12,2022-08-26,2022-05-17,3,2.76,HUBG,"COB, CEO",41%,16464532,0.0,0.41,Industrials,0.21431593398291293,0.1281377378006888,0.12104502418641959,0.04717500679739649,-0.11748750893450227,-0.11748750893450227,1,0,3,3,-0.0065176625992545,-0.0026768590833395937,4.0,5.0
2022-08-11,2022-08-11,2022-08-12,2022-07-15,2022-07-29,2022-09-12,2022-08-26,2022-05-17,3,2.75,NRDS,"CEO, 10%",11%,386380,0.0,0.11,Financial Services,0.35607937172980536,0.2635839060340796,0.12104502418641959,0.04717500679739649,-0.11748750893450227,-0.11748750893450227,0,-1,3,3,0.0716389132454886,0.0765457035098492,1.0,9.0
2022-08-11,2022-08-11,2022-08-12,2022-07-15,2022-07-29,2022-09-12,2022-08-26,2022-05-17,3,0.64,LAZR,"Chairperson, Pres, CEO, 10%",6%,499105,0.0,0.06,Consumer Cyclical,0.8658743667638826,0.628148114239728,0.12104502418641959,0.04717500679739649,-0.11748750893450227,-0.11748750893450227,0,-1,3,3,-0.06901541500437208,-0.05501927738548152,5.0,5.0
2022-08-11,2022-08-11,2022-08-12,2022-07-15,2022-07-29,2022-09-12,2022-08-26,2022-05-17,3,2.25,ET,Exec COB,1%,17406546,3.0,0.01,Energy,0.21104670863563119,0.054575240334446495,0.12104502418641959,0.04717500679739649,-0.11748750893450227,-0.11748750893450227,0,-1,3,3,0.031786930811503904,0.029209552309731122,20.0,20.0
2022-08-10,2022-08-10,2022-08-11,2022-07-14,2022-07-28,2022-09-09,2022-08-25,2022-05-16,3,0.81,IHRT,"COB, CEO",3%,503739,0.0,0.03,Communication Services,0.46587543767851325,0.26829270382829845,0.11776865253280681,0.04499113093495445,-0.13416198761261675,-0.13416198761261675,0,-1,2,2,0.012195110131936575,0.004065036710645525,4.0,5.0
2022-08-10,2022-08-10,2022-08-11,2022-07-14,2022-07-28,2022-09-09,2022-08-25,2022-05-16,3,1.78,CIVI,"Pres, CEO",60%,2005797,0.0,0.6,Energy,0.3961850777465754,0.09982729133401003,0.11776865253280681,0.04499113093495445,-0.13416198761261675,-0.13416198761261675,0,-1,2,2,0.06137443219988864,0.05055291837175297,13.0,12.0
2022-08-10,2022-08-10,2022-08-11,2022-07-14,2022-07-28,2022-09-09,2022-08-25,2022-05-16,3,2.76,PSTX,"Exec COB, 10%",2%,500000,3.0,0.02,Healthcare,0.5054945438825549,0.545112782291846,0.11776865253280681,0.04499113093495445,-0.13416198761261675,-0.13416198761261675,0,-1,2,2,0.05964464255911964,0.040609097738182276,6.0,5.0
